filename,description
612600.zip,Brocná [612600]
650781.zip,Brocno [650781]
612642.zip,Brod nad Dyjí [612642]
638498.zip,Brod nad Labem [638498]
612651.zip,Brod nad Tichou [612651]
612634.zip,Brod u Příbramě [612634]
612669.zip,Brod u Stříbra [612669]
668397.zip,Brod [668397]
612685.zip,Brodce nad Jizerou [612685]
666998.zip,Brodce [666998]
612693.zip,Brodec [612693]
612707.zip,Brodek u Konice [612707]
612731.zip,Brodek u Prostějova [612731]
612758.zip,Brodek u Přerova [612758]
625914.zip,Brodek [625914]
671924.zip,Brodeslavy [671924]
658278.zip,Broučkova Lhota [658278]
789569.zip,Broumov u Zadního Chodova [789569]
612766.zip,Broumov [612766]
612839.zip,Broumova Lhota [612839]
612847.zip,Broumovice [612847]
612871.zip,Broumy [612871]
645320.zip,Brozánky [645320]
754340.zip,Brozany nad Labem [754340]
612898.zip,Brozany nad Ohří [612898]
716642.zip,Brť [716642]
612910.zip,Brtec [612910]
